time (min),CLN1_18[20230804_claudins] (dRI),time (min),CLN1_18[20230804_claudins] (Rayleigh ratio),time (min),CLN1_18[20230804_claudins] (UV),time (min),CLN1_18[20230804_claudins] (Molar mass)
12.9164206605546,0.00120646404384967,13.7732525050958,0.307334479544963,13.8985740536567,-0.000253673669548073,,
12.9322185187007,0.00120800640328809,13.7897857281756,0.309208201396227,13.9151072767365,-0.000270682752993707,,
12.9480163768467,0.0012095487627265,13.8063189512553,0.309536970670784,13.9316404998162,-0.000267321190169836,,
12.9638142349928,0.00123017746062071,13.8228521743351,0.309509993236406,13.948173722896,-0.000263301673497216,,
12.9796120931389,0.00126311226459337,13.8393853974148,0.311539009899246,13.9647069459757,-0.000260128195196506,,
12.9954099512849,0.00128384630556417,13.8559186204946,0.313358414339636,13.9812401690555,-0.000262001153462011,,
13.011207809431,0.00131253505960651,13.8724518435743,0.31457201351905,13.9977733921352,-0.000257739698667752,,
13.0270056675771,0.00133782825782067,13.8889850666541,0.314932234044123,14.014306615215,-0.000252785291943992,,
13.0428035257231,0.00136007446686432,13.9055182897338,0.313915465389182,14.0308398382947,-0.000248472017511951,,
13.0586013838692,0.00141178343461729,13.9220515128136,0.312546141372029,14.0473730613745,-0.000244780366095159,,
13.0743992420153,0.00146404298228043,13.9385847358933,0.311046585774876,14.0639062844542,-0.000235273486696726,,
13.0901971001613,0.00149985251968531,13.9551179589731,0.309430365684869,14.080439507534,-0.000226615610226906,,
13.1059949583074,0.00151680566508481,13.9716511820528,0.307714754946759,14.0969727306137,-0.000219029371320401,,
13.1217928164535,0.0015331895185687,13.9881844051326,0.306373471704944,14.1135059536935,-0.000212368024907744,,
13.1375906745995,0.00157501026321797,14.0047176282123,0.305247392659466,14.1300391767732,-0.000203106555343182,,
13.1533885327456,0.00163095749420008,14.0212508512921,0.304267659441986,14.146572399853,-0.000195557011891409,,
13.1691863908917,0.0016706208306194,14.0377840743718,0.303054844192794,14.1631056229327,-0.000189803818814245,,
13.1849842490377,0.00170278047072988,14.0543172974516,0.301925841822094,14.1796388460125,-0.000206192648690213,,
13.2007821071838,0.00174149842848922,14.0708505205313,0.300386079190672,14.1961720690922,-0.00021776684375368,,
13.2165799653299,0.00180880398034844,14.0873837436111,0.298400329307507,14.212705292172,-0.0002277199694564,,
13.2323778234759,0.0018617239485526,14.1039169666908,0.296533530171939,14.2292385152517,-0.00023656793166839,,
13.248175681622,0.00187939321604268,14.1204501897706,0.294379409886127,14.2457717383315,-0.000234025908050964,,
13.2639735397681,0.00189496357262061,14.1369834128503,0.292113520011413,14.2623049614112,-0.000230132516705124,,
13.2797713979141,0.00192682613187726,14.1535166359301,0.289619761108371,14.278838184491,-0.000227817106632328,,
13.2955692560602,0.0019958917238243,14.1700498590098,0.286901502527447,14.2953714075707,-0.000227030961503636,,
13.3113671142063,0.00206983729861146,14.1865830820896,0.284280640480785,14.3119046306505,-0.000229127200679233,,
13.3271649723523,0.0021295700253481,14.2031163051693,0.281794681742314,14.3284378537302,-0.00023131152469822,,
13.3429628304984,0.00218258013522017,14.2196495282491,0.277182814435436,14.34497107681,-0.000235000529784899,,
13.3587606886445,0.00223738995473871,14.2361827513288,0.273330250201244,14.3615042998897,-0.000242980645260033,,
13.3745585467905,0.002319242594823,14.2527159744086,0.269940650864519,14.3780375229695,-0.000239071942898971,,
13.3903564049366,0.00239841247802523,14.2692491974883,0.266811338087482,14.3945707460492,-0.000231887652509521,,
13.4061542630827,0.0024453573228565,14.2857824205681,0.263497183849507,14.411103969129,-0.000222428453876448,,
13.4219521212287,0.00248532825931225,14.3023156436478,0.260458763303946,14.4276371922087,-0.000214728110406726,,
13.4377499793748,0.00254645844835604,14.3188488667276,0.257197054096852,14.4441704152885,-0.000208832619933667,,
13.4535478375209,0.00263496651652283,14.3353820898073,0.253605873405466,14.4607036383682,-0.000211453742173738,,
13.4693456956669,0.00270934951991216,14.3519153128871,0.250368688064444,14.477236861448,-0.000231754857949058,,
